aqi_lo,aqi_hi,color,description,message
0,51,"rgb(0,228,0)",Good,"Air quality is satisfactory, and air pollution poses little or no risk."
51,101,"rgb(255,255,0)",Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution."
101,151,"rgb(255,126,0)",Unhealthy for Sensitive Groups,Members of sensitive groups may experience health effects. The general public is less likely to be affected.
151,201,"rgb(255,0,0)",Unhealthy,Some members of the general public may experience health effects; members of sensitive groups may experience more serious health effects.
201,301,"rgb(143,63,151)",Very Unhealthy,Health alert: The risk of health effects is increased for everyone.
301,10000,"rgb(126,0,35)",Hazardous,Health warning of emergency conditions: everyone is more likely to be affected.
